Analyser la demande du client;Identifier les besoins fonctionnels du client;oui
Analyser la demande du client;Traduire la demande en spécifications techniques;oui
Analyser la demande du client;Proposer une solution adaptée au budget et aux contraintes;non
Analyser la demande du client;Valider la compréhension de la demande avec le client;non
Assembler/configurer selon le cahier des charges;Sélectionner les composants conformes aux spécifications;oui
Assembler/configurer selon le cahier des charges;Assembler le système de manière méthodique;oui
Assembler/configurer selon le cahier des charges;Installer et configurer le système d'exploitation;oui
Assembler/configurer selon le cahier des charges;Installer les logiciels demandés par le client;non
Assembler/configurer selon le cahier des charges;Configurer le réseau selon les exigences;non
Assembler/configurer selon le cahier des charges;Respecter les délais impartis;non
Diagnostiquer et résoudre les pannes;Identifier rapidement la nature de la panne (matérielle/logicielle);oui
Diagnostiquer et résoudre les pannes;Appliquer une méthodologie de résolution structurée;oui
Diagnostiquer et résoudre les pannes;Résoudre la panne de manière efficace;oui
Diagnostiquer et résoudre les pannes;Tester le système après résolution;oui
Diagnostiquer et résoudre les pannes;Gérer son temps efficacement face à l'imprévu;non
Documenter et communiquer le résultat;Rédiger un rapport technique complet;oui
Documenter et communiquer le résultat;Présenter le travail réalisé de manière professionnelle;non
Documenter et communiquer le résultat;Justifier les choix techniques effectués;oui
Documenter et communiquer le résultat;Formuler des conseils d'utilisation pour le client;non
